GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3131000E3784600;C200M;A;59183;49;16;1;2;2;15;1;1056296.9;1629;0;16;1;0;16;10;6
CRS3035RES200mN3130800E3784400;C200M;A;59183;222.5;87;12;21;9;2;13;4157524.8;7376;0;87;84;0;87;45.5;47
CRS3035RES200mN3130600E3784200;C200M;A;59183;103.5;38;6;8;5;26;2;2237899.2;3075;0;38;12;0;38;28.5;19
CRS3035RES200mN3131000E3784400;C200M;A;59183;82;38;5;11;2;10;6;1732812.9;3447;0;38;28;0;38;16;23
CRS3035RES200mN3131000E3784200;C200M;I;59183;30.5;11.8;1.4;2.8;2.1;3.5;1.4;600460.5;958.7;0;11.8;8.3;0;11.799999999999999;10.399999999999999;6.9
CRS3035RES200mN3130800E3784200;C200M;A;59183;116;45;11;12;3;17;6;2126899.1;3853;0;45;28;0;45;24;25
CRS3035RES200mN3130600E3784000;C200M;A;59183;163.5;94;27;51;3;16;12;3302327.5;5698;36;58;77;1;94;26.5;33
CRS3035RES200mN3130800E3784000;C200M;A;59183;94.5;30;10;4;9;2;7;1461302.1;2540;0;30;27;0;30;33;9
CRS3035RES200mN3131400E3786800;C200M;I;59183;3;1.9;0.1;1.2;0.1;1.1;0.2;78630;161.5;1.9;0;0;0;1.9000000000000001;0.5;1
CRS3035RES200mN3128400E3783600;C200M;A;59183;184;75;0;11;1;71;7;5122131.1;7827;0;75;0;0;75;37;66
CRS3035RES200mN3128600E3783600;C200M;A;59183;87;39;1;8;0;38;1;2306455.1;4138;0;39;0;0;39;11;28
CRS3035RES200mN3128400E3783400;C200M;I;59183,59271;17;7;0.4;0.7;0.4;6.3;0;466777.1;729.2;0;7;0;0;7;1.8;5.9
CRS3035RES200mN3128600E3783400;C200M;I;59183;24;9.9;0.5;1;0.5;8.9;0;658979.5;1029.4;0;9.9;0;0;9.9;2.6;8.3
CRS3035RES200mN3129000E3783800;C200M;A;59183;169.5;64;24;20;13;25;12;2929282.8;5256;27;37;39;0;64;59;22
CRS3035RES200mN3128800E3783600;C200M;A;59183;89;39;2;7;2;33;3;2098162.5;4412;0;39;0;0;39;14;28
CRS3035RES200mN3129000E3783600;C200M;A;59183;268;88;19;21;13;46;8;5204901.5;7939;10;78;22;17;88;82;28
CRS3035RES200mN3128800E3783400;C200M;A;59183;76;28;6;3;3;5;8;1344760.2;2362;0;28;23;0;28;21;6
CRS3035RES200mN3129000E3783400;C200M;A;59183;333.5;165;43;88;12;50;18;6377222.6;11339;109;56;68;0;165;70.5;48
CRS3035RES200mN3128800E3783200;C200M;A;59183,59271;87;28;9;5;5;1;3;1407811.9;2173;0;28;27;0;28;26;1
CRS3035RES200mN3129000E3783200;C200M;A;59183,59271;106.5;48;15;18;4;38;5;2051907.9;4275;4;44;0;0;48;23.5;16
CRS3035RES200mN3128800E3783000;C200M;A;59271;36;13;2;5;2;10;1;617498.9;1284;3;10;0;0;13;12;7
